id,category,buggy_file,fixed_file,reasoning,buggy_snippet,fixed_snippet
01_race_conditions_0,01_race_conditions,dataset/01_race_conditions/sample_0_buggy.v,dataset/01_race_conditions/sample_0_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_0 (
    input clk,
    input [63:0] sig_in_0,
    output reg [63:0] sig_out_0
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_0 = sig_in_0 + 1'b1;
    end
endmodule
","module race_mod_0 (
    input clk,
    input [63:0] sig_in_0,
    output reg [63:0] sig_out_0
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_0 <= sig_in_0 + 1'b1;
    end
endmodule
"
01_race_conditions_1,01_race_conditions,dataset/01_race_conditions/sample_1_buggy.v,dataset/01_race_conditions/sample_1_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_1 (
    input clk,
    input [15:0] sig_in_1,
    output reg [15:0] sig_out_1
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_1 = sig_in_1 + 1'b1;
    end
endmodule
","module race_mod_1 (
    input clk,
    input [15:0] sig_in_1,
    output reg [15:0] sig_out_1
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_1 <= sig_in_1 + 1'b1;
    end
endmodule
"
01_race_conditions_2,01_race_conditions,dataset/01_race_conditions/sample_2_buggy.v,dataset/01_race_conditions/sample_2_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_2 (
    input clk,
    input [31:0] sig_in_2,
    output reg [31:0] sig_out_2
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_2 = sig_in_2 + 1'b1;
    end
endmodule
","module race_mod_2 (
    input clk,
    input [31:0] sig_in_2,
    output reg [31:0] sig_out_2
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_2 <= sig_in_2 + 1'b1;
    end
endmodule
"
01_race_conditions_3,01_race_conditions,dataset/01_race_conditions/sample_3_buggy.v,dataset/01_race_conditions/sample_3_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_3 (
    input clk,
    input [31:0] sig_in_3,
    output reg [31:0] sig_out_3
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_3 = sig_in_3 + 1'b1;
    end
endmodule
","module race_mod_3 (
    input clk,
    input [31:0] sig_in_3,
    output reg [31:0] sig_out_3
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_3 <= sig_in_3 + 1'b1;
    end
endmodule
"
01_race_conditions_4,01_race_conditions,dataset/01_race_conditions/sample_4_buggy.v,dataset/01_race_conditions/sample_4_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_4 (
    input clk,
    input [7:0] sig_in_4,
    output reg [7:0] sig_out_4
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_4 = sig_in_4 + 1'b1;
    end
endmodule
","module race_mod_4 (
    input clk,
    input [7:0] sig_in_4,
    output reg [7:0] sig_out_4
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_4 <= sig_in_4 + 1'b1;
    end
endmodule
"
01_race_conditions_5,01_race_conditions,dataset/01_race_conditions/sample_5_buggy.v,dataset/01_race_conditions/sample_5_fixed.v,Using blocking assignment '=' in a clocked negedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_5 (
    input clk,
    input [7:0] sig_in_5,
    output reg [7:0] sig_out_5
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(negedge clk) begin
        sig_out_5 = sig_in_5 + 1'b1;
    end
endmodule
","module race_mod_5 (
    input clk,
    input [7:0] sig_in_5,
    output reg [7:0] sig_out_5
);
    // FIX: Use non-blocking assignment
    always @(negedge clk) begin
        sig_out_5 <= sig_in_5 + 1'b1;
    end
endmodule
"
01_race_conditions_6,01_race_conditions,dataset/01_race_conditions/sample_6_buggy.v,dataset/01_race_conditions/sample_6_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_6 (
    input clk,
    input [31:0] sig_in_6,
    output reg [31:0] sig_out_6
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_6 = sig_in_6 + 1'b1;
    end
endmodule
","module race_mod_6 (
    input clk,
    input [31:0] sig_in_6,
    output reg [31:0] sig_out_6
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_6 <= sig_in_6 + 1'b1;
    end
endmodule
"
01_race_conditions_7,01_race_conditions,dataset/01_race_conditions/sample_7_buggy.v,dataset/01_race_conditions/sample_7_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_7 (
    input clk,
    input [3:0] sig_in_7,
    output reg [3:0] sig_out_7
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_7 = sig_in_7 + 1'b1;
    end
endmodule
","module race_mod_7 (
    input clk,
    input [3:0] sig_in_7,
    output reg [3:0] sig_out_7
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_7 <= sig_in_7 + 1'b1;
    end
endmodule
"
01_race_conditions_8,01_race_conditions,dataset/01_race_conditions/sample_8_buggy.v,dataset/01_race_conditions/sample_8_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_8 (
    input clk,
    input [7:0] sig_in_8,
    output reg [7:0] sig_out_8
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_8 = sig_in_8 + 1'b1;
    end
endmodule
","module race_mod_8 (
    input clk,
    input [7:0] sig_in_8,
    output reg [7:0] sig_out_8
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_8 <= sig_in_8 + 1'b1;
    end
endmodule
"
01_race_conditions_9,01_race_conditions,dataset/01_race_conditions/sample_9_buggy.v,dataset/01_race_conditions/sample_9_fixed.v,Using blocking assignment '=' in a clocked posedge clk block causes simulation/synthesis race conditions. Used non-blocking '<=' instead.,"module race_mod_9 (
    input clk,
    input [63:0] sig_in_9,
    output reg [63:0] sig_out_9
);
    // BUG: Mixing blocking assignment in sequential logic
    always @(posedge clk) begin
        sig_out_9 = sig_in_9 + 1'b1;
    end
endmodule
","module race_mod_9 (
    input clk,
    input [63:0] sig_in_9,
    output reg [63:0] sig_out_9
);
    // FIX: Use non-blocking assignment
    always @(posedge clk) begin
        sig_out_9 <= sig_in_9 + 1'b1;
    end
endmodule
"
